ScientistName#preparation#date#components,login,password
Ланчеков Алексей Тимофеевич#Зылорик#1489-05-21#Chemical_63 Chemical_71 Chemical_40,Ланчеков_АТ,е7ц4ЩюаД
Ампипогов Михаил Юрьевич#Иммунивит#1664-02-17#Chemical_100 Chemical_6 Chemical_44,Ампипогов_МЮ,КЦ3ТъадБ
Тюлюлюева Анна Яковлевна#Нитросорбид#1827-09-25#Chemical_18 Chemical_69 Chemical_93,Тюлюлюева_АЯ,св3дПЁУь
Неветруева Елена Эдуардовна#Гидрохлоротиазид#0902-11-21#Chemical_15 Chemical_82 Chemical_21,Неветруева_ЕЭ,ьыювХге0
Курочкин Руслан Аркадиевич#Золедроновая кислота#1389-01-05#Chemical_44 Chemical_62 Chemical_73,Курочкин_РА,мЬ4ДШПбэ
Рутковский Антон Кириллович#Бактрим#1327-01-22#Chemical_19 Chemical_27 Chemical_68,Рутковский_АК,ьцзЩнИф0
Шабунов Юрий Алексиевич#Парацетамол#0970-10-22#Chemical_41 Chemical_31 Chemical_39,Шабунов_ЮА,жВ1хБоМи
Кожетев Максим Аркадиевич#Алпразолам#1743-04-03#Chemical_26 Chemical_76 Chemical_16,Кожетев_МА,АОюю4иу1
Хусаинов Антон Алексеевич#Росувастатин#0949-06-08#Chemical_89 Chemical_77 Chemical_35,Хусаинов_АА,хёяЪЦ0ЩЛ
Вендеров Никита Тимофеевич#Витамин С#1119-02-24#Chemical_43 Chemical_97 Chemical_3,Вендеров_НТ,86шэКкЭЁ
Дергунская Яна Эдуардовна#Колчицин#1909-04-19#Chemical_70 Chemical_7 Chemical_23,Дергунская_ЯЭ,ТохМТщ3Ъ
Заботнов Анатолий Максимович#Тианептин#1454-04-22#Chemical_75 Chemical_98 Chemical_63,Заботнов_АМ,ХА1ЦМЪлю
Рубинов Руслан Иванович#Рамиприл#1276-02-24#Chemical_38 Chemical_46 Chemical_16,Рубинов_РИ,шБЮЮ7аоа
Крючатов Ярослав Антонович#Миртазапин#1734-03-17#Chemical_51 Chemical_64 Chemical_70,Крючатов_ЯА,ВЧ2БцдЬг
Жебракова Полина Игоревна#Бисопролол#1886-02-19#Chemical_87 Chemical_27 Chemical_19,Жебракова_ПИ,ЪЯ98Еф88
Данивецкая Виолетта Эдуардовна#Золедроновая кислота#1451-11-13#Chemical_37 Chemical_65 Chemical_92,Данивецкая_ВЭ,ътЪ4а10ж
Мятлев Георгий Денисович#Азитромицин#1987-08-26#Chemical_16 Chemical_14 Chemical_48,Мятлев_ГД,Щеэ9МФээ
Нетунаев Руслан Петрович#Клопидогрел#1969-06-01#Chemical_99 Chemical_87 Chemical_25,Нетунаев_РП,5рйМЖЛяМ
Аранышев Иван Юрьевич#Тианептин#1035-08-27#Chemical_56 Chemical_60 Chemical_53,Аранышев_ИЮ,4А78СЗКж
Курмелев Леонид Николаевич#Спазмалгон#1543-08-10#Chemical_44 Chemical_43 Chemical_15,Курмелев_ЛН,иНьф3Ииь
Арончикова Вероника Викторовна#Живина#2000-01-25#Chemical_22 Chemical_91 Chemical_60,Арончикова_ВВ,Клгхч5ю6
Гизулина Галина Ивановна#Омепразол#1875-10-22#Chemical_9 Chemical_3 Chemical_59,Гизулина_ГИ,нЙРЁЮЙ4ъ
Мразевский Артём Викторович#Диклофенак#1450-12-12#Chemical_98 Chemical_9 Chemical_50,Мразевский_АВ,жЮ9иаЭАа
Окладнова Алена Максимовна#Агонал#1765-03-28#Chemical_26 Chemical_32 Chemical_27,Окладнова_АМ,ФйдыЭэ6ф
Курыпина Анастасия Валерьевна#Золекс#1663-06-14#Chemical_1 Chemical_94 Chemical_63,Курыпина_АВ,5йПгЗ934
Алтамонов Борис Аркадиевич#Оланзапин#1215-11-17#Chemical_57 Chemical_81 Chemical_21,Алтамонов_БА,42С6ТчПУ
Бардаева Анна Михайловна#Пароксетин#1368-03-04#Chemical_20 Chemical_65 Chemical_42,Бардаева_АМ,1фг4СеёХ
Родных Игорь Михаилович#Валидол#1123-03-07#Chemical_77 Chemical_45 Chemical_100,Родных_ИМ,ъЭфы5ыяМ
Маговский Константин Юриевич#Ацетилсалициловая кислота#1315-08-02#Chemical_73 Chemical_92 Chemical_9,Маговский_КЮ,ЛСЫщ03А2
Гергиев Олег Кириллович#Омепразол#1333-04-12#Chemical_6 Chemical_93 Chemical_45,Гергиев_ОК,тбЦысдС3
Русалина Дарья Алексеевна#Ибупрофен#1390-11-03#Chemical_26 Chemical_30 Chemical_82,Русалина_ДА,юЦОСх8мК
Бухтулова Виктория Алексеевна#Бромгексин#1408-11-08#Chemical_72 Chemical_8 Chemical_45,Бухтулова_ВА,ъьч9ЁЪы7
Сабаткоев Федор Викторович#Нимесулид#1531-01-04#Chemical_55 Chemical_67 Chemical_74,Сабаткоев_ФВ,ё5аУТЭЭЫ
Шмитов Никита Игоревич#Левофлоксацин#1817-07-04#Chemical_41 Chemical_81 Chemical_61,Шмитов_НИ,5кЪРСлРЪ
Стенцова Лиза Петровна#Диклофенак#1261-11-17#Chemical_65 Chemical_13 Chemical_29,Стенцова_ЛП,23ёЪЗШМА
Ярычевский Максим Евгеньевич#Глюкозамин#1106-01-17#Chemical_34 Chemical_86 Chemical_88,Ярычевский_МЕ,г3ЁиЖЗЯа
Шкваркин Федор Юрьевич#Тианептин#0929-07-27#Chemical_67 Chemical_56 Chemical_43,Шкваркин_ФЮ,0гяФВлаю
Магусумова Ирина Олеговна#Дикарбазин#0991-07-16#Chemical_51 Chemical_15 Chemical_2,Магусумова_ИО,нРзаГЗф5
Шаморкина Галина Федоровна#Кладрибин#1633-08-02#Chemical_61 Chemical_62 Chemical_48,Шаморкина_ГФ,шщ70э1ЁЁ
Цицеров Альберт Антонович#Небиволол#1820-01-05#Chemical_6 Chemical_48 Chemical_7,Цицеров_АА,2въ6рДё8
Улерьянова Ксения Евгеньевна#Диклофенак#1523-11-17#Chemical_1 Chemical_14 Chemical_96,Улерьянова_КЕ,ь1ЭРЖфЩв
Ханмурзина Карина Игоревна#Енап#1309-08-18#Chemical_21 Chemical_1 Chemical_34,Ханмурзина_КИ,оЖ3юкЩцШ
Гарская Евгения Никитична#Пилипен#1983-11-20#Chemical_2 Chemical_15 Chemical_11,Гарская_ЕН,1СюПХдуч
Гнетнев Григорий Денисович#Евалар солгар мультивитамини#1074-07-16#Chemical_12 Chemical_69 Chemical_99,Гнетнев_ГД,ьёчбхЩ38
Бельцов Алексей Яковлевич#Ретардин#2011-04-09#Chemical_2 Chemical_23 Chemical_92,Бельцов_АЯ,ыеэ3дЫнЦ
Федурин Владимир Алексеевич#Амитриптилин#0982-10-20#Chemical_5 Chemical_75 Chemical_78,Федурин_ВА,УьЫ6ШХхВ
